original_name,occurrences,affected_guidelines,affected_diagnoses,possible_normalization,possible_atc
#рифаксимина,2,1,2,рифаксимина,J04AB04
пиперациллин+тазобактама,2,1,1,пиперациллин + тазобактама,J01CG01
"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X))",2,1,2,"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X))",J01CE01
"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору: комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X)",2,1,1,"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору: комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR) и/или цефалоспорины 4-го поколения (JO1DE), и/или карбапенемы (JO1DH), и/или другие антибактериальные препараты (JO1X)",J01CE01
фрамицетин,2,1,2,фрамицетин,
Дексаметазон+Неомицин+Полимиксин B+Фенилэфрин,2,1,2,Дексаметазон + Неомицин + Полимиксин B + Фенилэфрин,
клиндамицин** + #рифампицин**,2,1,1,клиндамицин** + #рифампицин,J01FF01
цефалоспорины 1-ого или 2-ого поколения,2,1,2,цефалоспорины 1-ого или 2-ого поколения,J01D
тедизолид**,2,1,2,тедизолид,J01XX11
препарата,2,1,2,препарата,
Ванкомицин3**,2,1,2,Ванкомицин3,J01XA01
Цефазолин** + Метронидазол**,2,1,2,Цефазолин** + Метронидазол,J01DB04
колистемитат натрия+ тетрациклин+хлорамфеникол**,2,1,2,колистемитат натрия + тетрациклин + хлорамфеникол,J01AA07
Триметоприм**,1,1,1,Триметоприм,J01EA01
цефалоспорин 3 поколения + амикацин**,1,1,1,цефалоспорин 3 поколения + амикацин,J01GB06
цефалоспорин 3 поколения + амикацин** + ванкомицин**,1,1,1,цефалоспорин 3 поколения + амикацин** + ванкомицин,J01GB06
Ко-тримоксазол (Сульфаметоксазол Триметоприм)**,1,1,1,Ко-тримоксазол (Сульфаметоксазол Триметоприм),J01EE01
Тетрациклин,1,1,1,Тетрациклин,J01AA07
Хлорамфеникол,1,1,1,Хлорамфеникол,J01BA01
Джозамицин,1,1,1,Джозамицин,
Мидекамицин,1,1,1,Мидекамицин,
Спирамицин,1,1,1,Спирамицин,
Нифуроксазид,1,1,1,Нифуроксазид,
Налидиксовая кислота,1,1,1,Налидиксовая кислота,
Бензатина бензилпенициллин**,1,1,1,Бензатина бензилпенициллин,J01CE01
^цефтриаксон**,1,1,1,^цефтриаксон,J01DD04
#цефтриаксоном**,1,1,1,цефтриаксоном,J01DD04
#Ко-тримоксазол [Сульфаметоксазол+Триметоприм] ****,1,1,1,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
#рифабутин**,1,1,1,рифабутин,
#азитромицина**,1,1,1,азитромицина,J01FA10
#амикацина**,1,1,1,амикацина,J01GB06
левофлоксацина**,1,1,1,левофлоксацина,J01MA12
#моксифлоксацина**,1,1,1,моксифлоксацина,J01MA14
полусинтетические пенициллины,1,1,1,полусинтетические пенициллины,J01CE01
#клиндамицина**,1,1,1,клиндамицина,J01FF01
"#ванкомицин*’,‘",1,1,1,"ванкомицин*’,‘",J01XA01
"мазь для наружного применения, содержащая гентамицин",1,1,1,"мазь для наружного применения, содержащая гентамицин",J01GB03
мазь мупироцина,1,1,1,мазь мупироцина,
"антибактериальные препараты системного действия, одновременно направленные на грамположительные и грамотрицательные бактерии",1,1,1,"антибактериальные препараты системного действия, одновременно направленные на грамположительные и грамотрицательные бактерии",
Ампициллин+[сульбактам] * *,1,1,1,Ампициллин + [сульбактам] *,J01CA01
рифаксима,1,1,1,рифаксима,
#рифаксимином,1,1,1,рифаксимином,J04AB04
бетаметазон+ гентамицин + клотримазол,1,1,1,бетаметазон + гентамицин + клотримазол,J01GB03
эритромицин + препараты из группы других бета-лактамных антибактериальных препаратов (J01D по АТХ классификации),1,1,1,эритромицин + препараты из группы других бета-лактамных антибактериальных препаратов (J01D по АТХ классификации),J01FA01
препарат группы макролидов (J01FA по АТХ классификации) или фторхинолонов (J01MA по АТХ классификации),1,1,1,препарат группы макролидов (J01FA по АТХ классификации) или фторхинолонов (J01MA по АТХ классификации),J01MA
Ко-тримоксазол [Сулъфаметоксазол+Триметоприм],1,1,1,Ко-тримоксазол [Сулъфаметоксазол + Триметоприм],J01EE01
цефалоспорина первого или второго поколения,1,1,1,цефалоспорина первого или второго поколения,J01D
"антибактериальные препараты системного действия (АТХ – J01): цефалоспорины третьего поколения, цефалоспорины четвертого поколения, цефалоспорины пятого поколения, комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, макролиды",1,1,1,"антибактериальные препараты системного действия (АТХ – J01): цефалоспорины третьего поколения, цефалоспорины четвертого поколения, цефалоспорины пятого поколения, комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз, макролиды",J01CE01
адекватная антимикробная терапия,1,1,1,адекватная антимикробная терапия,
цефалоспорины третьего,1,1,1,цефалоспорины третьего,J01D
цефалоспорины четвертого,1,1,1,цефалоспорины четвертого,J01D
цефалоспорины пятого поколения,1,1,1,цефалоспорины пятого поколения,J01D
противотуберкулезные препараты,1,1,1,противотуберкулезные препараты,
"пенициллины, чувствительные к беталактамазам",1,1,1,"пенициллины, чувствительные к беталактамазам",J01CE01
цефазолина**,1,1,1,цефазолина,J01DB04
#Ко-тримоксазол [Сульфаметоксазол + Триметоприм]**,1,1,1,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
цефалоспорины 3 поколения,1,1,1,цефалоспорины 3 поколения,J01D
"антибактериальные препараты из группы другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR)",1,1,1,"антибактериальные препараты из группы другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR)",J01CE01
"антибактериальные препараты широкого спектра действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR); карбапенемы (J01DH)",1,1,1,"антибактериальные препараты широкого спектра действия; другие бета-лактамные антибактериальные препараты (J01DB, J01DC, J01DD, J01DE, J01DH) или бета-лактамные антибактериальные препараты: пенициллины (J01CA, J01CF, J01CR); карбапенемы (J01DH)",J01CE01
цефалоспорины 1-ого поколения,1,1,1,цефалоспорины 1-ого поколения,J01D
цефалоспорины 2-ого поколения,1,1,1,цефалоспорины 2-ого поколения,J01D
"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR); цефалоспорины 4-го поколения (JO1DE); карбапенемы (JO1DH))",1,1,1,"антибактериальные препараты системного действия (JO1), влияющие на грамположительную, грамотрицательную и анаэробную флору (комбинации пенициллинов, включая комбинации с ингибиторами бета-лактамаз (JO1CR); цефалоспорины 4-го поколения (JO1DE); карбапенемы (JO1DH))",J01CE01
"ко-тримоксазол в комбинации с антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную",1,1,1,"ко-тримоксазол в комбинации с антибактериальными препаратами системного действия, влияющих на грамположительную, грамотрицательную и анаэробную",J01EE01
#Клиндамицин * *,1,1,1,Клиндамицин *,J01FF01
цефазолин** ± метронидазол**,1,1,1,цефазолин** ± метронидазол,J01DB04
препарат из группы карбапенемов,1,1,1,препарат из группы карбапенемов,J01DH
метронидазол** с цефалоспоринами третьего поколения,1,1,1,метронидазол** с цефалоспоринами третьего поколения,J01XD01
